ScaffoldNickname,Scaffold,Length,newChr,newStart,newEnd,newOrientation,oldChr,oldStart,oldEnd
4Sc3,20,7861250,chrIV,1174335,9035584,forward,chrIV,1174335,9035584
4Sc4,17,8782472,chrIV,9036585,17819056,forward,chrIV,9036585,17819056
4Sc6,24,5623859,chrIV,17820057,23443915,reverse,chrIV,22731829,28355687
UnSc25,108,349258,chrIV,23444916,23794173,reverse,chrUn,24937440,25286697
4Sc5,28,4910772,chrIV,23795174,28705945,reverse,chrIV,17820057,22730828
4Sc7,42,2095096,chrIV,28706946,30802041,forward,chrIV,28356688,30451783
4Sc8,41,2180165,chrIV,30803042,32983206,forward,chrIV,30452784,32632948
UnSc32,121,391895,chrIV,32984207,33376101,reverse,chrUn,27301804,27693698
UnSc53,152,266236,chrIV,33377102,33643337,reverse,chrUn,32548296,32814531
UnSc18,90,509074,chrIV,33644338,34153411,reverse,chrUn,21813335,22322408
9Sc1,31,4308199,chrIX,1,4308199,forward,chrIX,1,4308199
9Sc2,8,13584991,chrIX,4309200,17894190,reverse,chrIX,4309200,17894190
9Sc3,77,604609,chrIX,17895191,18499799,forward,chrIX,17895191,18499799
9Sc4,91,530449,chrIX,18500800,19031248,reverse,chrIX,18500800,19031248
9Sc5,105,452835,chrIX,19032249,19485083,forward,chrIX,19032249,19485083
9Sc6,183,121211,chrIX,19486084,19607294,reverse,chrIX,19486084,19607294
UnSc91,198,108707,chrIX,19608295,19717001,unknown,chrUn,38598002,38706708
9Sc8,189,116918,chrIX,19718002,19834919,forward,chrIX,19627166,19744083
UnSc74,177,148997,chrIX,19835920,19984916,forward,chrUn,36343914,36492910
UnSc136,244,102481,chrIX,19985917,20088397,unknown,chrUn,42813443,42915923
9Sc9,87,504396,chrIX,20089398,20593793,reverse,chrIX,19745084,20249479
*,*,*,chrM,*,*,*,chrM,1,15742
UnSc46,145,295500,chrUn,1,295500,unknown,chrUn,31039365,31334864
18Sc4,124,291023,chrUn,296501,587523,unknown,chrXVIII,15991694,16282716
UnSc63,164,258075,chrUn,588524,846598,unknown,chrUn,34360937,34619011
UnSc45,141,219560,chrUn,847599,1067158,unknown,chrUn,30818805,31038364
UnSc71,173,209803,chrUn,1068159,1277961,unknown,chrUn,35817148,36026950
UnSc65,166,197184,chrUn,1278962,1476145,unknown,chrUn,34789386,34986569
UnSc55,155,190672,chrUn,1477146,1667817,unknown,chrUn,33000773,33191444
UnSc69,171,186377,chrUn,1668818,1855194,unknown,chrUn,35454232,35640608
UnSc54,154,184241,chrUn,1856195,2040435,unknown,chrUn,32815532,32999772
UnSc61,162,175067,chrUn,2041436,2216502,unknown,chrUn,34021959,34197025
UnSc70,172,174539,chrUn,2217503,2392041,unknown,chrUn,35641609,35816147
UnSc124,232,172204,chrUn,2393042,2565245,unknown,chrUn,41867532,42039735
UnSc59,160,158084,chrUn,2566246,2724329,unknown,chrUn,33703693,33861776
UnSc76,179,156101,chrUn,2725330,2881430,unknown,chrUn,36630034,36786134
UnSc81,185,151417,chrUn,2882431,3033847,unknown,chrUn,37346606,37498022
UnSc85,192,135576,chrUn,3034848,3170423,unknown,chrUn,37876714,38012289
UnSc75,178,135123,chrUn,3171424,3306546,unknown,chrUn,36493911,36629033
UnSc98,205,126450,chrUn,3307547,3433996,unknown,chrUn,39364832,39491281
UnSc118,226,125417,chrUn,3434997,3560413,unknown,chrUn,41363992,41489408
UnSc84,188,121219,chrUn,3561414,3682632,unknown,chrUn,37754495,37875713
UnSc100,207,117296,chrUn,3683633,3800928,unknown,chrUn,39592841,39710136
UnSc87,194,117285,chrUn,3801929,3919213,unknown,chrUn,38115340,38232624
UnSc83,187,115114,chrUn,3920214,4035327,unknown,chrUn,37638381,37753494
UnSc96,203,108077,chrUn,4036328,4144404,unknown,chrUn,39163289,39271365
UnSc86,193,101050,chrUn,4145405,4246454,unknown,chrUn,38013290,38114339
UnSc119,227,99763,chrUn,4247455,4347217,unknown,chrUn,41490409,41590171
UnSc99,206,99559,chrUn,4348218,4447776,unknown,chrUn,39492282,39591840
UnSc89,196,98627,chrUn,4448777,4547403,unknown,chrUn,38381946,38480572
UnSc92,199,97953,chrUn,4548404,4646356,unknown,chrUn,38707709,38805661
UnSc134,242,95411,chrUn,4647357,4742767,unknown,chrUn,42638668,42734078
UnSc212,321,95125,chrUn,4743768,4838892,unknown,chrUn,46876408,46971532
UnSc109,216,94716,chrUn,4839893,4934608,unknown,chrUn,40435996,40530711
UnSc108,215,94574,chrUn,4935609,5030182,unknown,chrUn,40340422,40434995
UnSc146,254,93935,chrUn,5031183,5125117,unknown,chrUn,43455659,43549593
UnSc150,259,93105,chrUn,5126118,5219222,unknown,chrUn,43742337,43835441
UnSc97,204,91466,chrUn,5220223,5311688,unknown,chrUn,39272366,39363831
UnSc117,225,91144,chrUn,5312689,5403832,unknown,chrUn,41271848,41362991
UnSc111,218,89394,chrUn,5404833,5494226,unknown,chrUn,40614025,40703418
UnSc102,209,88137,chrUn,5495227,5583363,unknown,chrUn,39821486,39909622
UnSc107,214,87744,chrUn,5584364,5672107,unknown,chrUn,40251678,40339421
UnSc105,212,85982,chrUn,5673108,5759089,unknown,chrUn,40078298,40164279
UnSc106,213,85398,chrUn,5760090,5845487,unknown,chrUn,40165280,40250677
UnSc103,210,83983,chrUn,5846488,5930470,unknown,chrUn,39910623,39994605
UnSc104,211,81692,chrUn,5931471,6013162,unknown,chrUn,39995606,40077297
UnSc110,217,81313,chrUn,6014163,6095475,unknown,chrUn,40531712,40613024
UnSc115,223,80968,chrUn,6096476,6177443,unknown,chrUn,40980727,41061694
UnSc112,219,79250,chrUn,6178444,6257693,unknown,chrUn,40704419,40783668
UnSc135,243,77364,chrUn,6258694,6336057,unknown,chrUn,42735079,42812442
UnSc155,264,76560,chrUn,6337058,6413617,unknown,chrUn,44059894,44136453
UnSc114,221,73960,chrUn,6414618,6488577,unknown,chrUn,40905767,40979726
UnSc125,233,73492,chrUn,6489578,6563069,unknown,chrUn,42040736,42114227
UnSc142,250,72636,chrUn,6564070,6636705,unknown,chrUn,43209947,43282582
UnSc123,231,71955,chrUn,6637706,6709660,unknown,chrUn,41794577,41866531
UnSc162,271,71937,chrUn,6710661,6782597,unknown,chrUn,44476221,44548157
UnSc156,265,71712,chrUn,6783598,6855309,unknown,chrUn,44137454,44209165
UnSc147,255,70686,chrUn,6856310,6926995,unknown,chrUn,43550594,43621279
UnSc126,234,70511,chrUn,6927996,6998506,unknown,chrUn,42115228,42185738
UnSc169,278,69444,chrUn,6999507,7068950,unknown,chrUn,44821395,44890838
UnSc172,281,69191,chrUn,7069951,7139141,unknown,chrUn,44994621,45063811
UnSc129,237,67728,chrUn,7140142,7207869,unknown,chrUn,42315881,42383608
UnSc120,228,67660,chrUn,7208870,7276529,unknown,chrUn,41591172,41658831
UnSc122,230,67493,chrUn,7277530,7345022,unknown,chrUn,41726084,41793576
UnSc192,301,66799,chrUn,7346023,7412821,unknown,chrUn,45961252,46028050
UnSc132,240,66213,chrUn,7413822,7480034,unknown,chrUn,42510290,42576502
UnSc121,229,65252,chrUn,7481035,7546286,unknown,chrUn,41659832,41725083
UnSc145,253,65189,chrUn,7547287,7612475,unknown,chrUn,43389470,43454658
UnSc209,318,63963,chrUn,7613476,7677438,unknown,chrUn,46725951,46789913
UnSc127,235,63932,chrUn,7678439,7742370,unknown,chrUn,42186739,42250670
UnSc128,236,63210,chrUn,7743371,7806580,unknown,chrUn,42251671,42314880
UnSc181,290,63144,chrUn,7807581,7870724,unknown,chrUn,45447759,45510902
UnSc178,287,62246,chrUn,7871725,7933970,unknown,chrUn,45286319,45348564
UnSc130,238,62242,chrUn,7934971,7997212,unknown,chrUn,42384609,42446850
UnSc233,342,62103,chrUn,7998213,8060315,unknown,chrUn,47804064,47866166
UnSc137,245,61692,chrUn,8061316,8123007,unknown,chrUn,42916924,42978615
UnSc131,239,61439,chrUn,8124008,8185446,unknown,chrUn,42447851,42509289
UnSc202,311,60562,chrUn,8186447,8247008,unknown,chrUn,46400029,46460590
UnSc171,280,60509,chrUn,8248009,8308517,unknown,chrUn,44933112,44993620
UnSc149,258,60309,chrUn,8309518,8369826,unknown,chrUn,43681028,43741336
UnSc133,241,60165,chrUn,8370827,8430991,unknown,chrUn,42577503,42637667
UnSc159,268,59728,chrUn,8431992,8491719,unknown,chrUn,44326427,44386154
UnSc219,328,59670,chrUn,8492720,8552389,unknown,chrUn,47209679,47269348
UnSc230,339,59037,chrUn,8553390,8612426,unknown,chrUn,47663142,47722178
UnSc187,296,58761,chrUn,8613427,8672187,unknown,chrUn,45736233,45794993
UnSc241,350,58727,chrUn,8673188,8731914,unknown,chrUn,48097868,48156594
UnSc141,249,58497,chrUn,8732915,8791411,unknown,chrUn,43150450,43208946
UnSc199,308,58451,chrUn,8792412,8850862,unknown,chrUn,46267712,46326162
UnSc138,246,58348,chrUn,8851863,8910210,unknown,chrUn,42979616,43037963
UnSc158,267,57760,chrUn,8911211,8968970,unknown,chrUn,44267667,44325426
UnSc148,256,57748,chrUn,8969971,9027718,unknown,chrUn,43622280,43680027
UnSc180,289,57014,chrUn,9028719,9085732,unknown,chrUn,45389745,45446758
UnSc225,334,56813,chrUn,9086733,9143545,unknown,chrUn,47425274,47482086
UnSc157,266,56501,chrUn,9144546,9201046,unknown,chrUn,44210166,44266666
UnSc151,260,56380,chrUn,9202047,9258426,unknown,chrUn,43836442,43892821
UnSc163,272,56244,chrUn,9259427,9315670,unknown,chrUn,44549158,44605401
UnSc174,283,56026,chrUn,9316671,9372696,unknown,chrUn,45105697,45161722
UnSc197,306,55522,chrUn,9373697,9429218,unknown,chrUn,46175505,46231026
UnSc140,248,55145,chrUn,9430219,9485363,unknown,chrUn,43094305,43149449
UnSc239,348,54896,chrUn,9486364,9541259,unknown,chrUn,48014358,48069253
UnSc154,263,54881,chrUn,9542260,9597140,unknown,chrUn,44004013,44058893
UnSc152,261,54348,chrUn,9598141,9652488,unknown,chrUn,43893822,43948169
UnSc139,247,54341,chrUn,9653489,9707829,unknown,chrUn,43038964,43093304
UnSc153,262,53843,chrUn,9708830,9762672,unknown,chrUn,43949170,44003012
UnSc191,300,53692,chrUn,9763673,9817364,unknown,chrUn,45906560,45960251
UnSc185,294,53528,chrUn,9818365,9871892,unknown,chrUn,45643026,45696553
UnSc217,326,53463,chrUn,9872893,9926355,unknown,chrUn,47124039,47177501
UnSc214,323,53451,chrUn,9927356,9980806,unknown,chrUn,47006411,47059861
UnSc208,317,53197,chrUn,9981807,10035003,unknown,chrUn,46671754,46724950
UnSc204,313,53016,chrUn,10036004,10089019,unknown,chrUn,46514490,46567505
UnSc143,251,52946,chrUn,10090020,10142965,unknown,chrUn,43283583,43336528
UnSc339,449,52136,chrUn,10143966,10196101,unknown,chrUn,50509055,50561190
UnSc203,312,51899,chrUn,10197102,10249000,unknown,chrUn,46461591,46513489
UnSc366,476,51862,chrUn,10250001,10301862,unknown,chrUn,51044725,51096586
UnSc210,319,51614,chrUn,10302863,10354476,unknown,chrUn,46790914,46842527
UnSc184,293,51155,chrUn,10355477,10406631,unknown,chrUn,45590871,45642025
UnSc243,352,51043,chrUn,10407632,10458674,unknown,chrUn,48185127,48236169
UnSc229,338,50973,chrUn,10459675,10510647,unknown,chrUn,47611169,47662141
UnSc232,341,50959,chrUn,10511648,10562606,unknown,chrUn,47752105,47803063
UnSc144,252,50941,chrUn,10563607,10614547,unknown,chrUn,43337529,43388469
21Sc5,257,50152,chrUn,10615548,10665699,unknown,chrXXI,11667336,11717487
UnSc251,360,48964,chrUn,10666700,10715663,unknown,chrUn,48444628,48493591
UnSc226,335,48937,chrUn,10716664,10765600,unknown,chrUn,47483087,47532023
UnSc278,387,47752,chrUn,10766601,10814352,unknown,chrUn,49159782,49207533
UnSc227,336,47011,chrUn,10815353,10862363,unknown,chrUn,47533024,47580034
UnSc247,356,45946,chrUn,10863364,10909309,unknown,chrUn,48319619,48365564
UnSc447,557,45232,chrUn,10910310,10955541,unknown,chrUn,52437456,52482687
UnSc160,269,44336,chrUn,10956542,11000877,unknown,chrUn,44387155,44431490
UnSc259,368,43734,chrUn,11001878,11045611,unknown,chrUn,48671136,48714869
UnSc165,274,43351,chrUn,11046612,11089962,unknown,chrUn,44649497,44692847
UnSc697,808,43262,chrUn,11090963,11134224,unknown,chrUn,55715959,55759220
UnSc161,270,42730,chrUn,11135225,11177954,unknown,chrUn,44432491,44475220
UnSc164,273,42095,chrUn,11178955,11221049,unknown,chrUn,44606402,44648496
UnSc166,275,42085,chrUn,11222050,11264134,unknown,chrUn,44693848,44735932
UnSc167,276,41570,chrUn,11265135,11306704,unknown,chrUn,44736933,44778502
UnSc176,285,40908,chrUn,11307705,11348612,unknown,chrUn,45203822,45244729
UnSc168,277,40892,chrUn,11349613,11390504,unknown,chrUn,44779503,44820394
UnSc170,279,40273,chrUn,11391505,11431777,unknown,chrUn,44891839,44932111
UnSc175,284,40099,chrUn,11432778,11472876,unknown,chrUn,45162723,45202821
UnSc173,282,39885,chrUn,11473877,11513761,unknown,chrUn,45064812,45104696
UnSc562,672,39604,chrUn,11514762,11554365,unknown,chrUn,54094585,54134188
UnSc177,286,39589,chrUn,11555366,11594954,unknown,chrUn,45245730,45285318
UnSc179,288,39180,chrUn,11595955,11635134,unknown,chrUn,45349565,45388744
UnSc182,291,38662,chrUn,11636135,11674796,unknown,chrUn,45511903,45550564
UnSc193,302,38490,chrUn,11675797,11714286,unknown,chrUn,46029051,46067540
UnSc183,292,38306,chrUn,11715287,11753592,unknown,chrUn,45551565,45589870
UnSc186,295,37679,chrUn,11754593,11792271,unknown,chrUn,45697554,45735232
UnSc201,310,36267,chrUn,11793272,11829538,unknown,chrUn,46362762,46399028
UnSc188,297,36171,chrUn,11830539,11866709,unknown,chrUn,45795994,45832164
UnSc189,298,35853,chrUn,11867710,11903562,unknown,chrUn,45833165,45869017
UnSc190,299,35542,chrUn,11904563,11940104,unknown,chrUn,45870018,45905559
UnSc205,314,34784,chrUn,11941105,11975888,unknown,chrUn,46568506,46603289
UnSc195,304,34754,chrUn,11976889,12011642,unknown,chrUn,46104087,46138840
UnSc198,307,34685,chrUn,12012643,12047327,unknown,chrUn,46232027,46266711
UnSc196,305,34664,chrUn,12048328,12082991,unknown,chrUn,46139841,46174504
UnSc200,309,34599,chrUn,12083992,12118590,unknown,chrUn,46327163,46361761
UnSc194,303,34546,chrUn,12119591,12154136,unknown,chrUn,46068541,46103086
UnSc206,315,33261,chrUn,12155137,12188397,unknown,chrUn,46604290,46637550
UnSc213,322,32878,chrUn,12189398,12222275,unknown,chrUn,46972533,47005410
UnSc207,316,32203,chrUn,12223276,12255478,unknown,chrUn,46638551,46670753
UnSc235,344,32090,chrUn,12256479,12288568,unknown,chrUn,47896532,47928621
UnSc211,320,31880,chrUn,12289569,12321448,unknown,chrUn,46843528,46875407
UnSc223,332,31115,chrUn,12322449,12353563,unknown,chrUn,47362639,47393753
UnSc215,324,30803,chrUn,12354564,12385366,unknown,chrUn,47060862,47091664
UnSc216,325,30374,chrUn,12386367,12416740,unknown,chrUn,47092665,47123038
UnSc218,327,30177,chrUn,12417741,12447917,unknown,chrUn,47178502,47208678
UnSc220,329,29990,chrUn,12448918,12478907,unknown,chrUn,47270349,47300338
UnSc221,330,29714,chrUn,12479908,12509621,unknown,chrUn,47301339,47331052
UnSc222,331,29586,chrUn,12510622,12540207,unknown,chrUn,47332053,47361638
UnSc224,333,29520,chrUn,12541208,12570727,unknown,chrUn,47394754,47424273
UnSc228,337,29134,chrUn,12571728,12600861,unknown,chrUn,47581035,47610168
UnSc244,353,28864,chrUn,12601862,12630725,unknown,chrUn,48237170,48266033
UnSc236,345,28473,chrUn,12631726,12660198,unknown,chrUn,47929622,47958094
UnSc234,343,28365,chrUn,12661199,12689563,unknown,chrUn,47867167,47895531
UnSc231,340,27926,chrUn,12690564,12718489,unknown,chrUn,47723179,47751104
UnSc237,346,26773,chrUn,12719490,12746262,unknown,chrUn,47959095,47985867
UnSc240,349,26614,chrUn,12747263,12773876,unknown,chrUn,48070254,48096867
UnSc242,351,26532,chrUn,12774877,12801408,unknown,chrUn,48157595,48184126
UnSc238,347,26490,chrUn,12802409,12828898,unknown,chrUn,47986868,48013357
UnSc268,377,26092,chrUn,12829899,12855990,unknown,chrUn,48913652,48939743
UnSc285,394,25577,chrUn,12856991,12882567,unknown,chrUn,49346925,49372501
UnSc245,354,25468,chrUn,12883568,12909035,unknown,chrUn,48267034,48292501
UnSc249,358,25373,chrUn,12910036,12935408,unknown,chrUn,48392572,48417944
UnSc289,398,25355,chrUn,12936409,12961763,unknown,chrUn,49441578,49466932
UnSc273,382,25154,chrUn,12962764,12987917,unknown,chrUn,49038709,49063862
UnSc246,355,25117,chrUn,12988918,13014034,unknown,chrUn,48293502,48318618
UnSc248,357,25007,chrUn,13015035,13040041,unknown,chrUn,48366565,48391571
UnSc250,359,24683,chrUn,13041042,13065724,unknown,chrUn,48418945,48443627
UnSc252,361,24471,chrUn,13066725,13091195,unknown,chrUn,48494592,48519062
UnSc253,362,24363,chrUn,13092196,13116558,unknown,chrUn,48520063,48544425
UnSc254,363,24258,chrUn,13117559,13141816,unknown,chrUn,48545426,48569683
UnSc256,365,24246,chrUn,13142817,13167062,unknown,chrUn,48595857,48620102
UnSc262,371,24210,chrUn,13168063,13192272,unknown,chrUn,48765712,48789921
UnSc260,369,24183,chrUn,13193273,13217455,unknown,chrUn,48715870,48740052
UnSc255,364,24173,chrUn,13218456,13242628,unknown,chrUn,48570684,48594856
UnSc257,366,24037,chrUn,13243629,13267665,unknown,chrUn,48621103,48645139
UnSc269,378,24000,chrUn,13268666,13292665,unknown,chrUn,48940744,48964743
UnSc258,367,23996,chrUn,13293666,13317661,unknown,chrUn,48646140,48670135
UnSc263,372,23965,chrUn,13318662,13342626,unknown,chrUn,48790922,48814886
UnSc267,376,23904,chrUn,13343627,13367530,unknown,chrUn,48888748,48912651
UnSc261,370,23659,chrUn,13368531,13392189,unknown,chrUn,48741053,48764711
UnSc270,379,23572,chrUn,13393190,13416761,unknown,chrUn,48965744,48989315
UnSc292,401,23549,chrUn,13417762,13441310,unknown,chrUn,49512559,49536107
UnSc271,380,23511,chrUn,13442311,13465821,unknown,chrUn,48990316,49013826
UnSc264,373,23462,chrUn,13466822,13490283,unknown,chrUn,48815887,48839348
UnSc265,374,23207,chrUn,13491284,13514490,unknown,chrUn,48840349,48863555
UnSc274,383,23201,chrUn,13515491,13538691,unknown,chrUn,49064863,49088063
UnSc266,375,23192,chrUn,13539692,13562883,unknown,chrUn,48864556,48887747
UnSc272,381,22882,chrUn,13563884,13586765,unknown,chrUn,49014827,49037708
UnSc279,388,22715,chrUn,13587766,13610480,unknown,chrUn,49208534,49231248
UnSc276,385,22640,chrUn,13611481,13634120,unknown,chrUn,49112679,49135318
UnSc275,384,22615,chrUn,13635121,13657735,unknown,chrUn,49089064,49111678
UnSc330,439,22604,chrUn,13658736,13681339,unknown,chrUn,50331895,50354498
UnSc280,389,22600,chrUn,13682340,13704939,unknown,chrUn,49232249,49254848
UnSc277,386,22463,chrUn,13705940,13728402,unknown,chrUn,49136319,49158781
UnSc311,420,22374,chrUn,13729403,13751776,unknown,chrUn,49932291,49954664
UnSc297,406,22335,chrUn,13752777,13775111,unknown,chrUn,49624833,49647167
UnSc324,433,22029,chrUn,13776112,13798140,unknown,chrUn,50208623,50230651
UnSc287,396,22001,chrUn,13799141,13821141,unknown,chrUn,49396099,49418099
UnSc281,390,21969,chrUn,13822142,13844110,unknown,chrUn,49255849,49277817
UnSc316,425,21819,chrUn,13845111,13866929,unknown,chrUn,50039856,50061674
UnSc283,392,21752,chrUn,13867930,13889681,unknown,chrUn,49301532,49323283
UnSc282,391,21714,chrUn,13890682,13912395,unknown,chrUn,49278818,49300531
UnSc302,411,21643,chrUn,13913396,13935038,unknown,chrUn,49736664,49758306
UnSc284,393,21641,chrUn,13936039,13957679,unknown,chrUn,49324284,49345924
UnSc286,395,21597,chrUn,13958680,13980276,unknown,chrUn,49373502,49395098
UnSc288,397,21478,chrUn,13981277,14002754,unknown,chrUn,49419100,49440577
UnSc305,414,21471,chrUn,14003755,14025225,unknown,chrUn,49803316,49824786
UnSc303,412,21467,chrUn,14026226,14047692,unknown,chrUn,49759307,49780773
UnSc300,409,21426,chrUn,14048693,14070118,unknown,chrUn,49692235,49713660
UnSc291,400,21375,chrUn,14071119,14092493,unknown,chrUn,49490184,49511558
UnSc290,399,21251,chrUn,14093494,14114744,unknown,chrUn,49467933,49489183
UnSc298,407,21212,chrUn,14115745,14136956,unknown,chrUn,49648168,49669379
UnSc293,402,21020,chrUn,14137957,14158976,unknown,chrUn,49537108,49558127
UnSc301,410,21003,chrUn,14159977,14180979,unknown,chrUn,49714661,49735663
UnSc295,404,20940,chrUn,14181980,14202919,unknown,chrUn,49581057,49601996
UnSc294,403,20929,chrUn,14203920,14224848,unknown,chrUn,49559128,49580056
UnSc299,408,20855,chrUn,14225849,14246703,unknown,chrUn,49670380,49691234
UnSc319,428,20855,chrUn,14247704,14268558,unknown,chrUn,50104045,50124899
UnSc296,405,20836,chrUn,14269559,14290394,unknown,chrUn,49602997,49623832
UnSc313,422,20613,chrUn,14291395,14312007,unknown,chrUn,49976658,49997270
UnSc304,413,20542,chrUn,14313008,14333549,unknown,chrUn,49781774,49802315
UnSc306,415,20388,chrUn,14334550,14354937,unknown,chrUn,49825787,49846174
UnSc307,416,20350,chrUn,14355938,14376287,unknown,chrUn,49847175,49867524
UnSc308,417,20294,chrUn,14377288,14397581,unknown,chrUn,49868525,49888818
UnSc309,418,20264,chrUn,14398582,14418845,unknown,chrUn,49889819,49910082
UnSc310,419,20208,chrUn,14419846,14440053,unknown,chrUn,49911083,49931290
UnSc322,431,20036,chrUn,14441054,14461089,unknown,chrUn,50167183,50187218
UnSc312,421,19993,chrUn,14462090,14482082,unknown,chrUn,49955665,49975657
UnSc315,424,19838,chrUn,14483083,14502920,unknown,chrUn,50019018,50038855
UnSc314,423,19747,chrUn,14503921,14523667,unknown,chrUn,49998271,50018017
UnSc321,430,19733,chrUn,14524668,14544400,unknown,chrUn,50146450,50166182
UnSc317,426,19720,chrUn,14545401,14565120,unknown,chrUn,50062675,50082394
UnSc318,427,19650,chrUn,14566121,14585770,unknown,chrUn,50083395,50103044
UnSc320,429,19550,chrUn,14586771,14606320,unknown,chrUn,50125900,50145449
UnSc328,437,19483,chrUn,14607321,14626803,unknown,chrUn,50291711,50311193
UnSc323,432,19404,chrUn,14627804,14647207,unknown,chrUn,50188219,50207622
UnSc325,434,19165,chrUn,14648208,14667372,unknown,chrUn,50231652,50250816
UnSc326,435,19078,chrUn,14668373,14687450,unknown,chrUn,50251817,50270894
UnSc327,436,18816,chrUn,14688451,14707266,unknown,chrUn,50271895,50290710
UnSc431,541,18766,chrUn,14708267,14727032,unknown,chrUn,52181530,52200295
UnSc342,452,18747,chrUn,14728033,14746779,unknown,chrUn,50600417,50619163
UnSc329,438,18701,chrUn,14747780,14766480,unknown,chrUn,50312194,50330894
UnSc341,451,18533,chrUn,14767481,14786013,unknown,chrUn,50580884,50599416
UnSc331,440,18468,chrUn,14787014,14805481,unknown,chrUn,50355499,50373966
UnSc332,441,18431,chrUn,14806482,14824912,unknown,chrUn,50374967,50393397
UnSc347,457,18408,chrUn,14825913,14844320,unknown,chrUn,50693995,50712402
UnSc333,442,18369,chrUn,14845321,14863689,unknown,chrUn,50394398,50412766
UnSc335,444,18119,chrUn,14864690,14882808,unknown,chrUn,50432848,50450966
UnSc338,448,18114,chrUn,14883809,14901922,unknown,chrUn,50489941,50508054
UnSc356,466,18111,chrUn,14902923,14921033,unknown,chrUn,50861313,50879423
UnSc334,443,18081,chrUn,14922034,14940114,unknown,chrUn,50413767,50431847
UnSc370,480,18073,chrUn,14941115,14959187,unknown,chrUn,51150724,51168796
UnSc361,471,18021,chrUn,14960188,14978208,unknown,chrUn,50953591,50971611
UnSc337,446,17995,chrUn,14979209,14997203,unknown,chrUn,50470946,50488940
UnSc357,467,17985,chrUn,14998204,15016188,unknown,chrUn,50880424,50898408
UnSc336,445,17979,chrUn,15017189,15035167,unknown,chrUn,50451967,50469945
9Sc7,447,17871,chrUn,15036168,15054038,unknown,chrIX,19608295,19626165
UnSc352,462,17803,chrUn,15055039,15072841,unknown,chrUn,50787287,50805089
UnSc371,481,17731,chrUn,15073842,15091572,unknown,chrUn,51169797,51187527
UnSc340,450,17693,chrUn,15092573,15110265,unknown,chrUn,50562191,50579883
UnSc351,461,17664,chrUn,15111266,15128929,unknown,chrUn,50768623,50786286
UnSc343,453,17602,chrUn,15129930,15147531,unknown,chrUn,50620164,50637765
UnSc452,562,17532,chrUn,15148532,15166063,unknown,chrUn,52543993,52561524
UnSc348,458,17509,chrUn,15167064,15184572,unknown,chrUn,50713403,50730911
UnSc354,464,17505,chrUn,15185573,15203077,unknown,chrUn,50824406,50841910
UnSc378,488,17505,chrUn,15204078,15221582,unknown,chrUn,51293829,51311333
UnSc344,454,17414,chrUn,15222583,15239996,unknown,chrUn,50638766,50656179
UnSc345,455,17412,chrUn,15240997,15258408,unknown,chrUn,50657180,50674591
UnSc346,456,17403,chrUn,15259409,15276811,unknown,chrUn,50675592,50692994
UnSc355,465,17402,chrUn,15277812,15295213,unknown,chrUn,50842911,50860312
